#File Generated by kernel at: Fri May  8 15:42:16 2020
#Time,P,V,
0,2.24123,5.24841,
0.5,2.45492,1.8085,
1,2.27211,0.36462,
1.5,2.25174,-0.861922,
2,2.12778,-1.59089,
2.5,2.03448,-2.00612,
3,2.01087,-2.35256,
3.5,1.99005,-2.63272,
4,1.84998,-2.43594,
4.5,1.83477,-2.18833,
5,1.90525,-2.18182,
5.5,2.07637,-2.75968,
6,1.94099,-2.87536,
6.5,2.0412,-3.33318,
7,1.64707,-2.44535,
7.5,1.96273,-2.63527,
8,1.96138,-2.82056,
8.5,1.8893,-2.75976,
9,1.93732,-2.8629,
9.5,1.79492,-2.47987,
10,1.96128,-2.66482,
10.5,1.88902,-2.60306,
11,1.99097,-2.8894,
11.5,1.88936,-2.82882,
12,1.80187,-2.46953,
12.5,1.94751,-2.60746,
13,2.041,-3.06459,
13.5,1.91535,-3.09273,
14,1.93657,-3.19331,
14.5,1.89565,-3.15421,
15,1.73771,-2.57584,
15.5,1.99173,-2.86476,
16,2.06272,-3.39605,
16.5,1.95123,-3.54669,
17,1.78752,-3.13841,
17.5,1.86916,-3.00885,
18,1.73347,-2.416,
18.5,1.89904,-2.38845,
19,2.0786,-2.97397,
19.5,1.95795,-3.14755,
20,1.9037,-3.13591,
20.5,1.8704,-3.01058,
21,1.83186,-2.75366,
21.5,1.99524,-3.05457,
22,1.80446,-2.70413,
22.5,1.899,-2.67647,
23,1.93855,-2.78382,
23.5,1.80508,-2.43547,
24,1.92075,-2.48204,
24.5,2.00261,-2.80812,
25,2.05441,-3.31104,
25.5,2.01621,-3.68352,
26,1.89756,-3.65094,
26.5,1.89642,-3.61444,
27,1.87543,-3.5063,
27.5,1.9099,-3.51585,
28,1.76551,-3.03241,
28.5,1.92928,-3.1081,
29,1.96239,-3.29686,
29.5,1.92155,-3.34616,
30,1.96041,-3.52814,
30.5,1.86377,-3.38018,
31,1.89356,-3.33394,
31.5,1.92028,-3.37891,
32,1.89265,-3.32956,
32.5,1.8774,-3.22815,
33,1.91581,-3.25787,
33.5,1.85785,-3.0897,
34,1.90721,-3.09004,
34.5,1.95699,-3.26037,
35,1.89845,-3.23081,
35.5,1.83248,-2.97602,
36,1.85518,-2.79873,
36.5,1.95771,-2.97149,
37,1.84265,-2.75141,
37.5,1.88504,-2.67606,
38,1.96395,-2.87013,
38.5,1.79579,-2.49006,
39,1.9313,-2.57266,
39.5,1.98256,-2.83026,
40,1.84398,-2.61474,
40.5,1.84332,-2.39697,
41,1.99454,-2.69548,
41.5,1.92051,-2.74125,
42,1.82304,-2.45422,
42.5,1.96922,-2.66627,
43,1.91837,-2.70474,
43.5,1.90918,-2.71182,
44,1.81569,-2.39969,
44.5,1.97194,-2.62103,
45,1.97178,-2.84184,
45.5,1.97527,-3.07455,
46,1.9951,-3.37498,
46.5,1.83103,-3.11525,
47,1.93503,-3.21058,
47.5,1.86252,-3.05836,
48,1.90123,-3.03828,
48.5,1.92418,-3.09659,
49,2.10266,-3.76426,
49.5,1.86032,-3.60452,
50,1.97653,-3.84154,
50.5,2.02254,-4.23566,
51,1.94244,-4.3563,
51.5,1.67371,-3.55942,
52,1.82244,-3.27035,
52.5,1.95565,-3.43607,
53,1.73772,-2.85776,
53.5,1.88571,-2.78469,
54,1.96137,-2.96995,
54.5,1.94089,-3.0853,
55,1.87381,-2.97161,
55.5,1.8617,-2.81657,
56,1.72085,-2.18064,
56.5,2.1106,-2.8754,
57,1.94445,-3.0029,
57.5,1.96335,-3.19493,
58,1.76371,-2.70535,
58.5,1.82265,-2.41699,
59,1.82988,-2.15331,
59.5,1.86136,-1.99712,
60,2.03856,-2.44594,
60.5,1.94136,-2.56287,
61,1.92426,-2.62144,
61.5,2.01165,-2.97837,
62,1.94217,-3.09807,
62.5,1.83442,-2.84991,
63,1.82763,-2.57855,
63.5,1.79197,-2.18545,
64,1.90849,-2.19017,
64.5,1.93724,-2.29305,
65,1.91911,-2.33404,
65.5,1.8738,-2.22032,
66,1.90177,-2.20211,
66.5,2.11093,-2.898,
67,2.01986,-3.28296,
67.5,2.00677,-3.62324,
68,1.8196,-3.32449,
68.5,1.79331,-2.93598,
69,1.97958,-3.1834,
69.5,2.00859,-3.52987,
70,1.88465,-3.45322,
70.5,1.90025,-3.4298,
71,1.94897,-3.57271,
71.5,1.73636,-2.98974,
72,1.89083,-2.93416,
72.5,1.91812,-2.97178,
73,1.89504,-2.9306,
73.5,1.86804,-2.79721,
74,2.00745,-3.13979,
74.5,2.01038,-3.49238,
75,1.94838,-3.63329,
75.5,1.96123,-3.81809,
76,1.82226,-3.52841,
76.5,1.93817,-3.63446,
77,1.93262,-3.72155,
77.5,1.87855,-3.62404,
